horizon	z	c	i	y	k	l	r	w	case
19	0.750392318118885	0.921574336990543	1.72977329214822	1.11344890907834	0.918107064774547	0.0959372860438972	0.216153798851833	1.01751162303444	baseline
20	0.739136433347101	0.926068963002578	1.67858456873347	1.10472374709696	0.93711900237352	0.0893273920471915	0.186616682322413	1.01539635504977	baseline
21	0.728049386846895	0.929700912257064	1.629259522929	1.09578317234464	0.954422515387407	0.0830411300437903	0.158664169971125	1.01274204230085	baseline
22	0.717128646044191	0.932517649742006	1.58172262512257	1.0866454496525	0.970105018130786	0.0770638999552464	0.132222934265092	1.00958154969725	baseline
23	0.706371716353529	0.934564429629588	1.53590154401529	1.07732791721756	0.984249931277899	0.0713817437939863	0.107222899086775	1.00594617342357	baseline
24	0.695776140608226	0.935884393508221	1.49172700898222	1.06784702883658	0.996936858220507	0.0659813176641798	0.0835970975586818	1.0018657111724	baseline
25	0.685339498499102	0.936518664316196	1.44913267839014	1.0582183942762	1.00824175372475	0.0608498649800003	0.0612815360556902	0.997368529296197	baseline
26	0.675059406021616	0.936506436164078	1.40805501361427	1.04845681786089	1.01823708522199	0.0559751908484044	0.040215064136139	0.992481627012482	baseline
27	0.664933514931291	0.935885060224804	1.3684331585068	1.0385763353565	1.02699198705411	0.0513456375658479	0.0203392501345139	0.987230697790652	baseline
28	0.654959512207322	0.934690126862713	1.33020882408057	1.02859024922379	1.03457240797977	0.0469500611805368	0.00159826216968129	0.98164018804325	baseline
29	0.645135119524212	0.932955544165259	1.29332617818214	1.01851116231315	1.04104125223483	0.0427778090739464	-0.0160612456666154	0.975733353239206	baseline
30	0.635458092731349	0.930713613034052	1.25773173993759	1.0083510100687	1.0464585144274	0.0388186985173259	-0.032690242166123	0.969532311551378	baseline
31	0.625926221340379	0.927995098985085	1.22337427876416	0.998121091306736	1.05088140853581	0.0350629961608253	-0.0483374231206597	0.963058095145911	baseline
32	0.616537328020273	0.924829300801465	1.19020471774996	0.987832097630963	1.05436449126617	0.0315013984147491	-0.0630493109048516	0.956330699216214	baseline
33	0.607289268099969	0.92124411617574	1.15817604121207	0.977494141544077	1.05695978001482	0.0281250126841688	-0.0768703497220908	0.949369128859909	baseline
34	0.598179929078469	0.917266104472984	1.12724320625206	0.967116783312622	1.05871686567075	0.0249253394198189	-0.0898429967021943	0.942191443892803	baseline
35	0.589207230142292	0.912920546740058	1.09736305813563	0.956709056639726	1.05968302048237	0.0218942549498338	-0.102007809031021	0.934814801689892	baseline
36	0.580369121690158	0.908231503081052	1.06849424933042	0.946279493197809	1.05990330120357	0.0190239950583782	-0.11340352728456	0.92725549813943	baseline
37	0.571663584864806	0.903221867513671	1.04059716204366	0.935836146071151	1.05942064772457	0.0163071392787402	-0.12406715513242	0.919529006792411	baseline
38	0.563088631091833	0.897913420416349	1.01363383410768	0.925386612156017	1.05827597738415	0.0137365958698344	-0.134034035568555	0.911650016286183	baseline
39	0.554642301625456	0.892326878671114	0.987567888068384	0.914938053563991	1.05650827515126	0.0113055874464385	-0.14333792382016	0.903632466117552	baseline
40	0.546322667101074	0.886481943602629	0.962364463337737	0.904497218072115	1.05415467985592	0.00900763723474307	-0.152011057079142	0.895489580837372	baseline
0	1	0.541054914060818	3.44075341158566	1.22947254296959	0.0860188352896414	0.344208814454387	1.22947254296959	0.885263728515205	phi_0
1	0.985	0.580811855803082	3.31570691997543	1.23010348974328	0.166761037406786	0.324645816970099	1.14408465445364	0.905457672773181	phi_0
2	0.970225	0.617753887114524	3.19593931549009	1.22984107514613	0.242490494358869	0.306043594015803	1.06308003773934	0.923797481130328	phi_0
